"","MAP","Cover"
"779",533.194117647059,32.7
"780",533.194117647059,37.9
"781",326,2.5
"782",334,13
"783",333,8
"784",329,2.5
"785",328,13
"786",332,2.5
"787",335,8
"788",337,2.5
"789",342,13
"790",349,13
"791",353,13
"792",354,8
"793",349,13
"794",354,2.5
"795",359,33
"796",360,2.5
"797",359,24
"798",361,2.5
"799",367,13
"800",371,13
"801",364,8
"802",367,2.5
"803",372,2.5
"804",388,2.5
"805",387,2.5
"806",391,8
"807",390,2.5
"808",391,2.5
"809",400,33
"810",404,8
"811",384,2.5
"812",402,24
"813",404,2.5
"814",409,2.5
"815",411,24
"816",428,13
"817",425,2.5
"818",428,8
"819",433,8
"820",433,8
"821",436,24
"822",428,33
"823",431,8
"824",426,2.5
"825",449,2.5
"826",452,8
"827",446,13
"828",456,33
"829",460,2.5
"830",464,2.5
"831",473,13
"832",481,24
"833",486,24
"834",485,2.5
"835",484,24
"836",497,13
"837",502,24
"838",503,13
"839",500,8
"840",505,8
"841",1100,42
"842",1100,39
"843",1100,31
"844",318,1
"845",347,4
"846",384,4
"847",420,1
"848",484,9
"849",587,17
"850",702,13
"851",389,4
"852",441,20
"853",490,20
"854",946,33
